ZIP_CODE,REGION,County,ResponseId,DistributionChannel,Q1.Intro,Q3.Intro,Q14,Q15,Q15_11_TEXT,Q17,Q18,Q18_11_TEXT,Q19,Q19_4_TEXT,Q20,Q21,Q21_13_TEXT,Q24,Q25,Q25_13_TEXT,Q32,Q32_14_TEXT,Q33,Q33_17_TEXT,Q34,Q34_23_TEXT,Q37,Q38,Q39,Q39_12_TEXT,Q40,Q41,Q42,Q42_4_TEXT,Q43,Q43_7_TEXT,Q44,Q44_14_TEXT,Q45,,,,,,,,,,
93614,SierraNevada,Madera,R_oZzGtWWXa4dARz3,anonymous,Yes,No,"Purchased a backup power source (e.g., generator),Removed vegetation and other combustible material within the first 0-5 feet of my home ","Cost,Permitting,Time",,Yes,"Burning piles of cut trees and brush,Weed trimming and/or mowing grass",,Did it myself,,"My only cost was personal labor (myself, friends, and family)",,,Yes,"Clarity on relevant laws and liability associated with burning,Help navigating the permitting process,Information about planning and implementation",,"Home hardening,Permitting for fuels mitigation work,Prescribed fire planning and implementation",,"In-person workshops,Webinars",,"Email,Social media ,Website",,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,No,Over 70,Woman,,White,,English,,Prefer not to state,,,,,,,,,,
93614,SierraNevada,Madera,R_1IY4sps7Xz1yxXG,anonymous,Yes,No,"Purchased an air filtration system for home to use during wildfire smoke events,Put up non-combustible, reflective signs/addressing on house,Removed vegetation and other combustible material within the first 0-5 feet of my home ,Retrofitted home with ignition and/or ember resistant materials",Existing home design constraints,,Yes,"Burning piles of cut trees and brush,Hand thinning and scattering small trees and brush ,Removal of small trees and brush with heavy equipment (e.g., mastication or chipping),Weed trimming and/or mowing grass",,Did some myself and hired a contractor,,Out of pocket,,,No,,,"Evacuation planning,Home hardening,Reducing health impacts from wildfire smoke",,"Field tours to local properties,Watching short videos",,"Mail,Newspaper",,Suburban,0-5 acres,Private forestry or timber production,,,18-30,Man,,White,,English,,"$100,001 - $150,000 per year",,,,,,,,,,
93619,CentralCoast,Fresno,R_2wRZvo2wcmOkeht,anonymous,Yes,No,"I am considering retrofitting or remodeling, but am unsure of what actions to take.,Purchased an air filtration system for home to use during wildfire smoke events,Purchased a backup power source (e.g., generator),Removed vegetation and other combustible material within the first 0-5 feet of my home ","Availability of contractors,Cost,Lack of knowledge, information, or resources,Permitting,Time",,Yes,"Burning piles of cut trees and brush,Hand thinning and scattering small trees and brush ,Prescribed fire (a controlled fire set intentionally to meet management objectives under applicable laws and regulations),Weed trimming and/or mowing grass",,Did some myself and hired a contractor,,Out of pocket,,,,,,"Available grants for fuels reduction treatments and how to apply,Reducing health impacts from wildfire smoke",,"Field tours to local properties,In-person workshops",,Mail,,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,,Over 70,Woman,,White,,English,,Prefer not to state,,,,,,,,,,
93641,SierraNevada,Fresno,R_yEAAXm2AEj0OuNr,anonymous,Yes,No,"Purchased an air filtration system for home to use during wildfire smoke events,No, I have not completed home retrofitting or remodeling",Cost,,Yes,"Burning piles of cut trees and brush,Hand thinning and scattering small trees and brush ,Removal of small trees and brush with heavy equipment (e.g., mastication or chipping),Weed trimming and/or mowing grass",,Worked with neighbors or community group,,"Grants,My only cost was personal labor (myself, friends, and family)",Fire Safe Council,,No,Information about planning and implementation,,"Available grants for fuels reduction treatments and how to apply,Home hardening",,Community events or town halls,,Text Message,,,,,,,,Man,,"Hispanic, Latino/a/x, or other Spanish origin",,English,,,,,,,,,,,,
93643,SierraNevada,Madera,R_2dtfmDmHbwULNhh,anonymous,Yes,No,"Purchased an air filtration system for home to use during wildfire smoke events,Removed vegetation and other combustible material within the first 0-5 feet of my home ,Retrofitted home with ignition and/or ember resistant materials",Cost,,Yes,,,,,Out of pocket,,,,,,"Ecosystem restoration,Reducing health impacts from wildfire smoke",,"Watching short videos,Webinars",,"Email,Mail",,Suburban,0-5 acres,Wildlife habitat,,No,31-40,Woman,,White,,English,,"$50,000 - $100,000 per year",,,,,,,,,,
93644,SierraNevada,Madera,R_3oZaRFDNrmpsofi,anonymous,Yes,No,"Purchased a backup power source (e.g., generator),Removed vegetation and other combustible material within the first 0-5 feet of my home ,Retrofitted home with ignition and/or ember resistant materials","Availability of contractors,Cost,Time",,Yes,"Burning piles of cut trees and brush,Hand thinning and scattering small trees and brush ,Removal of medium and large trees through timber harvest,Removal of small trees and brush with heavy equipment (e.g., mastication or chipping),Weed trimming and/or mowing grass",,Did some myself and hired a contractor,,"Out of pocket,Grants",Resource Conservation District (RCD),,Yes,"Help preparing my property to conduct a prescribed burn,Information about prescribed fire benefits,Information about planning and implementation,Labor resources,Training to learn how to safely conduct a prescribed burn",,"Available grants for fuels reduction treatments and how to apply,Ecosystem restoration,Home hardening",,"Field tours to local properties,In-person workshops,Reading factsheets,Watching short videos,Webinars",,"Email,Mail,Website",,,,,,,,Woman,,Prefer not to answer,,English,,,,,,,,,,,,
93644,SierraNevada,Madera,R_27Oo75snpp3cubB,anonymous,Yes,No,"Purchased a backup power source (e.g., generator),Put up non-combustible, reflective signs/addressing on house,Removed vegetation and other combustible material within the first 0-5 feet of my home ","Availability of contractors,Cost,Time",,Yes,"Burning piles of cut trees and brush,Weed trimming and/or mowing grass",,Did some myself and hired a contractor,,"Out of pocket,Grants","Fire Safe Council,Resource Conservation District (RCD)",,No,,,"Available grants for fuels reduction treatments and how to apply,Evacuation planning,Reducing health impacts from wildfire smoke",,"Community events or town halls,Webinars",,"Email,Website",,Rural,0-5 acres,"Not applicable, my property is only used for residential use",,No,51-60,Woman,,White,,English,,"$100,001 - $150,000 per year",,,,,,,,,,
93664,SierraNevada,Fresno,R_1ie7zWBRgi3OXpI,anonymous,Yes,No,"Put up non-combustible, reflective signs/addressing on house,Removed vegetation and other combustible material within the first 0-5 feet of my home ","Cost,Lack of knowledge, information, or resources",,Yes,"Burning piles of cut trees and brush,Hand thinning and scattering small trees and brush ,Removal of medium and large trees through timber harvest,Weed trimming and/or mowing grass",,Did some myself and hired a contractor,,Out of pocket,,,,,,"Available grants for fuels reduction treatments and how to apply,Ecosystem restoration,Home hardening,Post-wildfire recovery",,"Community events or town halls,In-person workshops,Reading factsheets,Webinars",,"Email,In-person,Website",,Rural,0-5 acres,"Not applicable, my property is only used for residential use",,No,51-60,Woman,,White,,English,,"Less than $50,000 per year",,,,,,,,,,
93667,SierraNevada,Fresno,R_2a9cphEEU3C4zmx,anonymous,Yes,No,"Purchased a backup power source (e.g., generator),Removed vegetation and other combustible material within the first 0-5 feet of my home ",Cost,,Yes,"Burning piles of cut trees and brush,Targeted grazing,Weed trimming and/or mowing grass",,Did it myself,,"My only cost was personal labor (myself, friends, and family)",,,Yes,"Clarity on relevant laws and liability associated with burning,Financial assistance,Help navigating the permitting process,Training to learn how to safely conduct a prescribed burn",,"Home hardening,Permitting for fuels mitigation work,Prescribed fire planning and implementation",,"Reading factsheets,Watching short videos",,"Email,Website",,Urban,,"Commercial production,Recreation",,Yes,,Man,,White,,American Sign Language (ASL),,"$100,001 - $150,000 per year",,,,,,,,,,
93669,SierraNevada,Madera,R_2dXPqp8RVrQbu5R,anonymous,Yes,No,"I am considering retrofitting or remodeling, but am unsure of what actions to take.,Removed vegetation and other combustible material within the first 0-5 feet of my home ","Lack of knowledge, information, or resources",,Yes,"Removal of small trees and brush with heavy equipment (e.g., mastication or chipping)",,Did some myself and hired a contractor,,Out of pocket,,,Yes,Help preparing my property to conduct a prescribed burn,,"Available grants for fuels reduction treatments and how to apply,Grazing for fuels reduction,Home hardening,Mechanical fuels reduction treatments (forest thinning, chipping, mastication, etc)",,"Community events or town halls,In-person workshops",,Email,,Urban,0-5 acres,"Not applicable, my property is only used for residential use",,,51-60,Woman,,White,,English,,"$50,000 - $100,000 per year",,,,,,,,,,
93728,CentralCoast,Fresno,R_21hKzRn6h5VAUXX,anonymous,Yes,No,"No, I have not completed home retrofitting or remodeling",Cost,,No,,,,,,,,,,,"Ecosystem restoration,Home hardening,Reducing health impacts from wildfire smoke",,"Community events or town halls,Field tours to local properties,In-person workshops,Reading factsheets,Watching short videos,Webinars",,"Email,In-person,Mail,Social media ,Website",,,,,,,,Man,,White,,English,,,,,,,,,,,,
93908,CentralCoast,Monterey,R_333iMAlbLQHqefR,anonymous,Yes,No,"Purchased a backup power source (e.g., generator),Put up non-combustible, reflective signs/addressing on house,Removed vegetation and other combustible material within the first 0-5 feet of my home ,Retrofitted home with ignition and/or ember resistant materials","Cost,Existing home design constraints",,Yes,Weed trimming and/or mowing grass,,Did some myself and hired a contractor,,Out of pocket,,,,,,Home hardening,,"Community events or town halls,Reading factsheets,Watching short videos",,Email,,Rural,0-5 acres,"Not applicable, my property is only used for residential use",,No,61-70,Woman,,White,,English,,"Greater than $150,000 per year",,,,,,,,,,
93908,CentralCoast,Monterey,R_3LdPLMKc1Lv7DDl,anonymous,Yes,No,"I am considering retrofitting or remodeling, but am unsure of what actions to take.","Cost,Lack of knowledge, information, or resources,Local and/or Homeowners Association rules and regulations",,Yes,Hand thinning and scattering small trees and brush ,,Did it myself,,Out of pocket,,,No,"Access to equipment,Clarity on relevant laws and liability associated with burning,Help preparing my property to conduct a prescribed burn,Help navigating the permitting process,Information about planning and implementation,Training to learn how to safely conduct a prescribed burn",,"Defensible space,Ecosystem restoration,Home hardening",,"Field tours to local properties,In-person workshops",,"Email,In-person,Telephone,Website",,,,,,,,Man,,White,,English,,,,,,,,,,,,
93923,CentralCoast,Monterey,R_2BtgNH0VajTmjvC,anonymous,Yes,No,"No, I have not completed home retrofitting or remodeling","Communicating with my landlord or property manager,Cost,Local and/or Homeowners Association rules and regulations",,No,,,,,,,,,,,"Available grants for fuels reduction treatments and how to apply,Evacuation planning,Home hardening",,"Community events or town halls,In-person workshops,Webinars",,"Email,In-person,Website",,,,,,,,Woman,,White,,English,,,,,,,,,,,,
93923,CentralCoast,Monterey,R_2zuJNgOAY88B0zf,anonymous,Yes,No,,Permitting,,Yes,"Burning piles of cut trees and brush,Removal of small trees and brush with heavy equipment (e.g., mastication or chipping),Weed trimming and/or mowing grass,Other (please specify):","Mastication work was along the road years ago, and has grown back. We find fuel reduction work is needed every year.  Some of Governor Newsom's/CAL FIRE's crews did work in our area several years ago, and most of that has grown back so you would not know the work was done.  The burn area where we live has many thousands, probably millions of dead standing trees left by the fire that are now dry and ready to act as kindling to kill the trees that survived the fire, but our county (irrationally) protects dead trees as if they were live trees.  Most elected officials live in urban areas and do not understand the problems caused by their regulations. They do not listen to people like me, but there is a chance they will listen to you/academics.  Please speak up, loudly and unambiguously, about the wildfire fuel accumulation problem and the critical need to amend environmental laws to allow and facilitate reducing wildfire fuels without regulatory burdens.  We should be thanking and rewarding people for doing wildfire fuel reduction work, not threatening them.",Other (please specify),My partner and I have done most of the work ourselves. We have also done work along the community road with neighbors as a group.  Government could help much more fuel reduction work take place if it were to provide insurance and protection from liability for community groups volunteering to do wildfire fuel reduction work.  That could be modeled on the existing California Disaster Service Worker Volunteer Program. https://www.caloes.ca.gov/office-of-the-director/policy-administration/finance-administration/human-resources/disaster-service-worker-volunteer-program/,"Out of pocket,My only cost was personal labor (myself, friends, and family)",,,,,,Other (please specify),1) How to remove regulatory roadblocks to wildfire fuel reduction work; 2) How to remove regulatory roadblocks to wildfire fuel reduction work; 3) How to remove regulatory roadblocks to wildfire fuel reduction work. ,"Community events or town halls,Webinars,Other (please specify)","Meetings (in person or virtual) with people who are interested in advocating for amending the myriad local, state, and federal environmental laws that currently act to discourage, hinder, and block wildfire fuel reduction work, so the laws instead clearly allow, facilitate, and reward wildfire fuel reduction work.","Email,Website,Other (please specify)","I am not active on social media but apparently most people are, so communicating the need to amend environmental laws on social media (with many followers) would be helpful.",Rural,6-10 acres,"Not applicable, my property is only used for residential use",,No,61-70,Woman,,White,,English,,"Greater than $150,000 per year",,,,,,,,,,
93923,CentralCoast,Monterey,R_2zdmT5uBYldQW3P,anonymous,Yes,No,"I am considering retrofitting or remodeling, but am unsure of what actions to take.,Removed vegetation and other combustible material within the first 0-5 feet of my home ,No, I have not completed home retrofitting or remodeling","Availability of contractors,Cost,Other (please specify)","We need reputable contractors and more explicit guidance about products for retrofits.  Could you work with big box stores like Home Depot and Lowes to improve access & installation support for fireproof siding, fire safe vents, and windows retrofits.  Grants & rebates for retrofits would help a lot too.",Yes,"Removal of small trees and brush with heavy equipment (e.g., mastication or chipping),Weed trimming and/or mowing grass,Other (please specify):",Hand trimming of bushes & trees,Did some myself and hired a contractor,,Out of pocket,,,,,,"Home hardening,Other (please specify)",Landscaping guidance to sustain wildlife habitat while reducing fire risks,"Reading factsheets,Watching short videos,Webinars",,"Email,Website,Other (please specify)",Webinars,,,,,,,Man,,White,,English,,,,,,,,,,,,
94024,CentralCoast,Santa Clara,R_W70ngl8BBfgyo5r,anonymous,Yes,No,Other (please specify):,Other (please specify),Not the owner,Yes,Weed trimming and/or mowing grass,,Did it myself,,"My only cost was personal labor (myself, friends, and family)",,,,,,"Defensible space,Evacuation planning",,"Field tours to local properties,In-person workshops,Webinars",,"Email,Social media ",,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,,61-70,Man,,White,,English,,"$100,001 - $150,000 per year",,,,,,,,,,
94025,CentralCoast,San Mateo,R_7O0javUQvcTtVsd,anonymous,Yes,No,"Put up non-combustible, reflective signs/addressing on house,Removed vegetation and other combustible material within the first 0-5 feet of my home ,Retrofitted home with ignition and/or ember resistant materials",Cost,,Yes,Other (please specify):,Defensable space around four sides moving walkway next to house.,Hired a contractor,,Out of pocket,,,,,,"Defensible space,Evacuation planning,Home hardening",,"Reading factsheets,Watching short videos,Webinars",,Email,,Urban,0-5 acres,"Not applicable, my property is only used for residential use",,No,51-60,Man,,Asian,,English,,"$100,001 - $150,000 per year",,,,,,,,,,
94028,CentralCoast,San Mateo,R_1KfnewL0Z0obnrn,anonymous,Yes,No,"Purchased an air filtration system for home to use during wildfire smoke events,Purchased a backup power source (e.g., generator),Put up non-combustible, reflective signs/addressing on house,Removed vegetation and other combustible material within the first 0-5 feet of my home ","Cost,Existing home design constraints",,Yes,"Hand thinning and scattering small trees and brush ,Other (please specify):",removed trees without harvesting them -- chipped or removed,Did some myself and hired a contractor,,Out of pocket,,,No,,,"Available grants for fuels reduction treatments and how to apply,Other (please specify)",motivating the community and how I could become certified as a home fire mitigation assessor,"Community events or town halls,Field tours to local properties,In-person workshops,Reading factsheets,Watching short videos,Webinars",,"Email,Website",,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,No,Over 70,Woman,,Asian,,English,,Prefer not to state,,,,,,,,,,
94043,CentralCoast,Santa Clara,R_2VvAztMoSPwwGc7,anonymous,Yes,No,"No, I have not completed home retrofitting or remodeling",Other (please specify),"My home has no need for this, as it is far away from wildlands",Yes,Other (please specify):,"Keeping mulch away from foundation, pruning trees back from house, pulling weeds",Did it myself,,"My only cost was personal labor (myself, friends, and family)",,,No,Other (please explain),"none - all these questions are silly for people who live well away from wildlands, it would be nice to be able to opt out of them","Ecosystem restoration,Mechanical fuels reduction treatments (forest thinning, chipping, mastication, etc),Prescribed fire planning and implementation",,Reading factsheets,,"Email,Social media ",,,,,,,,Woman,,White,,English,,,,,,,,,,,,
94060,CentralCoast,San Mateo,R_2wGHFvX1myb7nlu,anonymous,Yes,No,Removed vegetation and other combustible material within the first 0-5 feet of my home ,,,Yes,"Hand thinning and scattering small trees and brush ,Prescribed fire (a controlled fire set intentionally to meet management objectives under applicable laws and regulations),Removal of small trees and brush with heavy equipment (e.g., mastication or chipping),Targeted grazing,Weed trimming and/or mowing grass",,Other (please specify),ranch crew ,Out of pocket,,,Yes,Other (please explain),we have a VMP on the ranch currently ,"Ecosystem restoration,Grazing for fuels reduction,Prescribed fire planning and implementation",,"Field tours to local properties,In-person workshops,Webinars",,Email,,Rural,11-20 acres,"Farming and/or agriculture,Livestock/grazing",,No,61-70,Woman,,White,,English,,"$50,000 - $100,000 per year",,,,,,,,,,
94062,CentralCoast,San Mateo,R_3R2se5SDCS46WeY,anonymous,Yes,No,"Purchased a backup power source (e.g., generator),Removed vegetation and other combustible material within the first 0-5 feet of my home ,Retrofitted home with ignition and/or ember resistant materials","Existing home design constraints,Lack of knowledge, information, or resources",,Yes,"Hand thinning and scattering small trees and brush ,Weed trimming and/or mowing grass",,Did some myself and hired a contractor,,Out of pocket,,,,,,"Available grants for fuels reduction treatments and how to apply,Grazing for fuels reduction,Home hardening",,"In-person workshops,Reading factsheets",,"Email,In-person,Text Message",,Urban,0-5 acres,"Not applicable, my property is only used for residential use",,,61-70,,,White,,English,,Prefer not to state,,,,,,,,,,
94107,NA,San Francisco,R_1cU4Omcy0sgSC9h,anonymous,Yes,No,"Purchased a backup power source (e.g., generator),Removed vegetation and other combustible material within the first 0-5 feet of my home ","Availability of contractors,Cost,Local and/or Homeowners Association rules and regulations",,No,,,,,,,,Yes,"Information about prescribed fire benefits,Information about planning and implementation,Training to learn how to safely conduct a prescribed burn",,"Available grants for fuels reduction treatments and how to apply,Mechanical fuels reduction treatments (forest thinning, chipping, mastication, etc),Reducing health impacts from wildfire smoke",,"Watching short videos,Webinars",,"Email,Mail,Website",,,,,,,,Man,,White,,English,,,,,,,,,,,,
94501,CentralCoast,Alameda,R_1mn4WqEzLHmax15,anonymous,Yes,No,"I am considering retrofitting or remodeling, but am unsure of what actions to take.","Cost,Lack of knowledge, information, or resources,Other (please specify)","I live on an island in the middle of the SF Bay. I simply do not know what, if anything I need to do. It does not seem like we have a lot of wildfire risk. ",No,,,,,,,,,,,"Home hardening,Permitting for fuels mitigation work,Reducing health impacts from wildfire smoke",,"In-person workshops,Webinars",,"Email,In-person,Newspaper",,Rural,,"Not applicable, my property is only used for residential use",,No,31-40,Woman,,White,,English,,"$50,000 - $100,000 per year",,,,,,,,,,
94507,CentralCoast,Contra Costa,R_2X1JcAZM4jQnfNX,anonymous,Yes,No,"Removed vegetation and other combustible material within the first 0-5 feet of my home ,No, I have not completed home retrofitting or remodeling","Availability of contractors,Existing home design constraints,Permitting,Time",,Yes,"Hand thinning and scattering small trees and brush ,Weed trimming and/or mowing grass",,Did it myself,,Out of pocket,,,,,,"Available grants for fuels reduction treatments and how to apply,Ecosystem restoration,Grazing for fuels reduction,Home hardening,Mechanical fuels reduction treatments (forest thinning, chipping, mastication, etc),Permitting for fuels mitigation work,Prescribed fire planning and implementation",,"Field tours to local properties,In-person workshops,Reading factsheets,Watching short videos",,"Email,Newspaper,Website",,,,,,,,Man,,Other (please specify),Scandinavian,"English,Other (please specify)",Norwegian,,,,,,,,,,,
94517,CentralCoast,Contra Costa,R_RRlFsUlWWySTGsF,anonymous,Yes,No,Removed vegetation and other combustible material within the first 0-5 feet of my home ,"Cost,Existing home design constraints,Time",,Yes,"Targeted grazing,Weed trimming and/or mowing grass",,Did it myself,,Out of pocket,,,No,,,,,,,"Radio,Website",,,,,,,,Prefer not to answer,,Prefer not to answer,,English,,,,,,,,,,,,
94517,CentralCoast,Contra Costa,R_3fqOeyEsorYxUFu,anonymous,Yes,No,"Purchased a backup power source (e.g., generator),Put up non-combustible, reflective signs/addressing on house,Removed vegetation and other combustible material within the first 0-5 feet of my home ,Retrofitted home with ignition and/or ember resistant materials",Cost,,Yes,"Removal of medium and large trees through timber harvest,Targeted grazing,Weed trimming and/or mowing grass",,Did it myself,,Out of pocket,,,No,Other (please explain),I use my own livestock todo targeted grazing instead of burns.,"Defensible space,Evacuation planning,Home hardening,Reducing health impacts from wildfire smoke",,"Field tours to local properties,In-person workshops",,"Email,Website",,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,No,61-70,Woman,,White,,English,,"Greater than $150,000 per year",,,,,,,,,,
94523,CentralCoast,Contra Costa,R_3MQ1v7vLpCZOuJy,anonymous,Yes,No,,"Cost,Time",,No,,,,,,,,,,,"Ecosystem restoration,Home hardening",,"Community events or town halls,Field tours to local properties,In-person workshops,Reading factsheets",,"Email,Newspaper,Text Message",,,,,,,,Woman,,White,,English,,,,,,,,,,,,
94523,CentralCoast,Contra Costa,R_24zPyyPpzAuPujW,anonymous,Yes,No,"Purchased an air filtration system for home to use during wildfire smoke events,Purchased a backup power source (e.g., generator)","Availability of contractors,Existing home design constraints,Permitting",,Yes,Hand thinning and scattering small trees and brush ,,Did it myself,,"My only cost was personal labor (myself, friends, and family)",,,,,,"Defensible space,Home hardening,Reducing health impacts from wildfire smoke",,"Reading factsheets,Watching short videos,Webinars",,"Email,Mail,Newspaper,Website",,,,,,,,Woman,,"American Indian or Alaskan Native,White",,English,,,,,,,,,,,,
94526,CentralCoast,Contra Costa,R_3qURNgCpEnHfVzC,anonymous,Yes,No,"No, I have not completed home retrofitting or remodeling","Availability of contractors,Cost,Local and/or Homeowners Association rules and regulations",,No,,,,,,,,No,,,"Ecosystem restoration,Post-wildfire recovery,Reducing health impacts from wildfire smoke",,"Community events or town halls,Reading factsheets,Webinars",,"Email,Social media ,Text Message,Website",,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,,Over 70,Woman,,White,,English,,"Greater than $150,000 per year",,,,,,,,,,
94526,CentralCoast,Contra Costa,R_1JRvjGy2PQAYdGz,anonymous,Yes,No,"Purchased a backup power source (e.g., generator),Retrofitted home with ignition and/or ember resistant materials",Time,,Yes,"Hand thinning and scattering small trees and brush ,Weed trimming and/or mowing grass",,Did some myself and hired a contractor,,Out of pocket,,,,,,"Ecosystem restoration,Home hardening,Mechanical fuels reduction treatments (forest thinning, chipping, mastication, etc)",,"Watching short videos,Webinars",,Email,,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,No,31-40,Woman,,White,,English,,"Greater than $150,000 per year",,,,,,,,,,
94526,CentralCoast,Contra Costa,R_2dQmSL3FZGqCdtG,anonymous,Yes,No,"Purchased a backup power source (e.g., generator),Removed vegetation and other combustible material within the first 0-5 feet of my home ,Retrofitted home with ignition and/or ember resistant materials","Availability of contractors,Cost,Local and/or Homeowners Association rules and regulations",,Yes,"Hand thinning and scattering small trees and brush ,Weed trimming and/or mowing grass",,Did some myself and hired a contractor,,Out of pocket,,,No,,,"Defensible space,Ecosystem restoration,Reducing health impacts from wildfire smoke",,"Reading factsheets,Webinars",,"Email,Mail,Website",,,,,,,,Man,,White,,English,,,,,,,,,,,,
94526,CentralCoast,Contra Costa,R_2c0zsSYby0OfCze,anonymous,Yes,No,Removed vegetation and other combustible material within the first 0-5 feet of my home ,"Cost,Existing home design constraints,Time",,Yes,"Hand thinning and scattering small trees and brush ,Weed trimming and/or mowing grass",,Did it myself,,"My only cost was personal labor (myself, friends, and family)",,,,,,"Ecosystem restoration,Home hardening,Reducing health impacts from wildfire smoke",,"In-person workshops,Reading factsheets,Webinars",,"Email,Website",,,,,,,,Woman,,White,,English,,,,,,,,,,,,
94530,CentralCoast,Contra Costa,R_1jUv4G8EFEI4Qpi,anonymous,Yes,No,"Purchased an air filtration system for home to use during wildfire smoke events,No, I have not completed home retrofitting or remodeling","Cost,Lack of knowledge, information, or resources",,No,,,,,,,,Yes,"Clarity on relevant laws and liability associated with burning,Help preparing my property to conduct a prescribed burn,Help navigating the permitting process,Information about planning and implementation,Training to learn how to safely conduct a prescribed burn",,Prescribed fire planning and implementation,,"Field tours to local properties,In-person workshops",,"Email,Text Message",,,,,,,,Man,,White,,English,,,,,,,,,,,,
94530,CentralCoast,Contra Costa,R_31a2okFxEdsVS27,anonymous,Yes,No,"No, I have not completed home retrofitting or remodeling","Lack of knowledge, information, or resources",,No,,,,,,,,,,,"Defensible space,Home hardening,Reducing health impacts from wildfire smoke",,"In-person workshops,Reading factsheets,Watching short videos,Webinars",,Email,,Rural,6-10 acres,"Livestock/grazing,Wildlife habitat",,No,61-70,Woman,,American Indian or Alaskan Native,,English,,"Less than $50,000 per year",,,,,,,,,,
94530,CentralCoast,Contra Costa,R_cGeYU4r5GYlZCFj,anonymous,Yes,No,"Purchased a backup power source (e.g., generator)","Lack of knowledge, information, or resources,Time",,Yes,Weed trimming and/or mowing grass,,Did it myself,,Out of pocket,,,,,,"Ecosystem restoration,Reducing health impacts from wildfire smoke",,"Reading factsheets,Watching short videos",,"Radio,Website",,Urban,0-5 acres,"Not applicable, my property is only used for residential use",,No,51-60,Woman,,White,,English,,"Less than $50,000 per year",,,,,,,,,,
94530,CentralCoast,Contra Costa,R_24i8OShAybqArhh,anonymous,Yes,No,"Removed vegetation and other combustible material within the first 0-5 feet of my home ,Retrofitted home with ignition and/or ember resistant materials","Cost,Lack of knowledge, information, or resources",,Yes,Weed trimming and/or mowing grass,,Did some myself and hired a contractor,,Out of pocket,,,No,,,"Home hardening,Prescribed fire planning and implementation,Reducing health impacts from wildfire smoke",,"Reading factsheets,Watching short videos,Webinars",,"Email,Newspaper,Telephone,Text Message,Website",,Rural,11-20 acres,"Not applicable, my property is only used for residential use,Recreation,Wildlife habitat",,No,51-60,Woman,,"Asian,Hispanic, Latino/a/x, or other Spanish origin,White",,English,,"Greater than $150,000 per year",,,,,,,,,,
94530,CentralCoast,Contra Costa,R_2y2yLjdVgqpHdIW,anonymous,Yes,No,"Purchased an air filtration system for home to use during wildfire smoke events,No, I have not completed home retrofitting or remodeling","Cost,Existing home design constraints",,Yes,"Hand thinning and scattering small trees and brush ,Weed trimming and/or mowing grass,Other (please specify):","keep trees limbed up, thin them",Did some myself and hired a contractor,,Out of pocket,,,,,,Available grants for fuels reduction treatments and how to apply,,"Watching short videos,Webinars",,"Email,Text Message,Website",,Suburban,0-5 acres,Carbon sequestration credits,,No,Over 70,Woman,,White,,English,,"$100,001 - $150,000 per year",,,,,,,,,,
94530,CentralCoast,Contra Costa,R_9pFSy1ix38BEZGh,anonymous,Yes,No,"No, I have not completed home retrofitting or remodeling","Availability of contractors,Existing home design constraints,Time",,No,,,,,,,,Unsure,"Help preparing my property to conduct a prescribed burn,Help navigating the permitting process,Information about planning and implementation",,"Grazing for fuels reduction,Mechanical fuels reduction treatments (forest thinning, chipping, mastication, etc),Reducing health impacts from wildfire smoke",,In-person workshops,,Email,,Urban,0-5 acres,Wildlife habitat,,No,31-40,Woman,,White,,English,,"Greater than $150,000 per year",,,,,,,,,,
94530,CentralCoast,Contra Costa,R_1mz8yJKg46KzQ0x,anonymous,Yes,No,"No, I have not completed home retrofitting or remodeling","Cost,Existing home design constraints,Lack of knowledge, information, or resources",,Yes,"Hand thinning and scattering small trees and brush ,Other (please specify):",Limbing up trees and removing high fuel content shrubs,Did it myself,,"My only cost was personal labor (myself, friends, and family)",,,,,,"Home hardening,Post-wildfire recovery,Reducing health impacts from wildfire smoke",,"Reading factsheets,Watching short videos,Webinars",,Website,,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,No,61-70,Woman,,White,,English,,Prefer not to state,,,,,,,,,,
94530,CentralCoast,Contra Costa,R_3lXfVq8UjpbTT5T,anonymous,Yes,No,Other (please specify):,Time,,Yes,"Hand thinning and scattering small trees and brush ,Weed trimming and/or mowing grass",,Did some myself and hired a contractor,,Out of pocket,,,No,,,"Available grants for fuels reduction treatments and how to apply,Defensible space,Home hardening",,"Field tours to local properties,Watching short videos,Webinars",,Email,,,,,,,,Man,,White,,English,,,,,,,,,,,,
94530,CentralCoast,Contra Costa,R_1dae3DgmEc8nA74,anonymous,Yes,No,"Purchased a backup power source (e.g., generator),Removed vegetation and other combustible material within the first 0-5 feet of my home ","Lack of knowledge, information, or resources",,Yes,Hand thinning and scattering small trees and brush ,,Hired a contractor,,Out of pocket,,,No,,,"Evacuation planning,Home hardening,Reducing health impacts from wildfire smoke",,"Community events or town halls,Field tours to local properties,In-person workshops,Reading factsheets,Watching short videos,Webinars",,"Email,In-person,Telephone,Text Message,Website",,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,No,Over 70,Man,,White,,English,,"$100,001 - $150,000 per year",,,,,,,,,,
