Progress,Duration (in seconds),Finished,ResponseId,Q1-Intro,Q3-Intro,Q14,Q15,Q15_11_TEXT,Q17,Q18,Q18_11_TEXT,Q19,Q19_4_TEXT,Q20,Q21,Q21_13_TEXT,Q24,Q25,Q25_13_TEXT,Q32,Q32_14_TEXT,Q33,Q33_17_TEXT,Q34,Q34_23_TEXT,Q35_8_TEXT,Q14-FNR,Q36,County,Q37,Q38,Q39,Q39_12_TEXT,Q40,Q41,Q42,Q42_4_TEXT,Q43,Q43_7_TEXT,Q44,Q44_14_TEXT,Q45
100,542,TRUE,R_10SBNeVkjgPNhG0,Yes,No,"I am considering retrofitting or remodeling, but am unsure of what actions to take.,Purchased an air filtration system for home to use during wildfire smoke events","Lack of knowledge, information, or resources,Time",,No,,,,,,,,,,,"Evacuation planning,Home hardening,Reducing health impacts from wildfire smoke",,"Reading factsheets,Watching short videos",,"Email,Social media ",,,,92058,San Diego,Suburban,0-5 acres,"Farming and/or agriculture,Wildlife habitat",,No,31-40,Woman,,White,,English,,Prefer not to state
100,471,TRUE,R_1hECfmAhYKdSUNh,Yes,Yes,,,,,,,,,,,,,,,"Mechanical fuels reduction treatments (forest thinning, chipping, mastication, etc),Permitting for fuels mitigation work,Prescribed fire planning and implementation",,"Community events or town halls,Field tours to local properties,In-person workshops,Reading factsheets,Watching short videos,Webinars",,"Email,In-person,Social media ,Telephone",,,Yes,,,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,,51-60,Woman,,White,,English,,"Greater than $150,000 per year"
100,372,TRUE,R_1Cmbhm02c02WOhL,Yes,Yes,,,,,,,,,,,,,,,"Available grants for fuels reduction treatments and how to apply,Post-wildfire recovery,Prescribed fire planning and implementation",,"Community events or town halls,In-person workshops,Reading factsheets,Webinars",,"Email,In-person",,,Yes,,,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,,Prefer not to answer,Woman,,Asian,,"Cantonese,English,Mandarin",,Prefer not to state
100,448,TRUE,R_2e9IL5ANrHgrTND,Yes,Yes,,,,,,,,,,,,,,,"Evacuation planning,Mechanical fuels reduction treatments (forest thinning, chipping, mastication, etc),Prescribed fire planning and implementation",,"In-person workshops,Watching short videos",,"Email,Social media ",,,Yes,,,Rural,0-5 acres,"Not applicable, my property is only used for residential use",,No,31-40,Woman,,White,,English,,"$50,000 - $100,000 per year"
100,356,TRUE,R_2cpHeQ7UzXhTcnk,Yes,Yes,,,,,,,,,,,,,,,"Available grants for fuels reduction treatments and how to apply,Ecosystem restoration,Permitting for fuels mitigation work",,"Community events or town halls,Field tours to local properties,In-person workshops,Reading factsheets",,"Email,In-person,Mail",,,Yes,,,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,No,61-70,Woman,,White,,English,,Prefer not to state
100,519,TRUE,R_3G0UCX9me13ylTu,Yes,Yes,,,,,,,,,,,,,,,"Evacuation planning,Mechanical fuels reduction treatments (forest thinning, chipping, mastication, etc),Prescribed fire planning and implementation",,"Field tours to local properties,In-person workshops,Watching short videos,Webinars",,"Email,In-person,Social media ,Text Message",,,Yes,,,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,No,Over 70,Man,,White,,English,,"$100,001 - $150,000 per year"
100,602,TRUE,R_qI9WFE8Impgba9z,Yes,No,"I am considering retrofitting or remodeling, but am unsure of what actions to take.,Purchased an air filtration system for home to use during wildfire smoke events,Purchased a backup power source (e.g., generator),Put up non-combustible, reflective signs/addressing on house,Removed vegetation and other combustible material within the first 0-5 feet of my home ","Cost,Existing home design constraints,Time",,Yes,"Burning piles of cut trees and brush,Hand thinning and scattering small trees and brush ",,Worked with neighbors or community group,,Out of pocket,,,Yes,"Access to equipment,Help preparing my property to conduct a prescribed burn,Help navigating the permitting process,Information about planning and implementation,Labor resources,Training to learn how to safely conduct a prescribed burn",,"Ecosystem restoration,Home hardening,Prescribed fire planning and implementation",,"Community events or town halls,Field tours to local properties,In-person workshops,Reading factsheets,Watching short videos,Webinars",,"Email,In-person",,,,95945,Nevada,,,,,,,Prefer not to answer,,Prefer not to answer,,English,,
100,1853,TRUE,R_RK4XIeTgtmHeJt7,Yes,No,"Purchased a backup power source (e.g., generator),Removed vegetation and other combustible material within the first 0-5 feet of my home ,Other (please specify):","Local and/or Homeowners Association rules and regulations,Permitting,Other (please specify)",Board of Forestry Fire Safe Regulations that prevent me from replacing my home with a more fire-resistant structure.,Yes,"Burning piles of cut trees and brush,Hand thinning and scattering small trees and brush ,Removal of medium and large trees through timber harvest,Removal of small trees and brush with heavy equipment (e.g., mastication or chipping),Weed trimming and/or mowing grass",,Did some myself and hired a contractor,,"Out of pocket,Grants",Natural Resource Conservation Service (NRCS),,No,Other (please explain),I maintain my property well enought that a prescribed fire is not necessary.,"Defensible space,Home hardening,Other (please specify)",How I can avoid being prevented from replacing my existing home with a fire-resistant structure.,Other (please specify),I have learned that using my time and resources to protect my home and family are more productive than participating in meetings.,"In-person,Website",,,,95338,Mariposa,,,,,,,Man,,"Hispanic, Latino/a/x, or other Spanish origin",,"English,Spanish",,
100,704,TRUE,R_0UoWrXSTLrkHYMF,Yes,No,"No, I have not completed home retrofitting or remodeling",Cost,,Yes,Weed trimming and/or mowing grass,,Did it myself,,"My only cost was personal labor (myself, friends, and family)",,,,,,"Evacuation planning,Home hardening,Reducing health impacts from wildfire smoke",,Watching short videos,,Mail,,,,92064,San Diego,,0-5 acres,"Recreation,Other (please specify)","workshop, garden",,41-50,Nonbinary,,White,,English,,"Greater than $150,000 per year"
100,517,TRUE,R_0vJs8crCMRoKu2t,Yes,No,"No, I have not completed home retrofitting or remodeling","Cost,Local and/or Homeowners Association rules and regulations",,No,,,,,,,,Unsure,"Clarity on relevant laws and liability associated with burning,Help preparing my property to conduct a prescribed burn,Information about prescribed fire benefits,Information about planning and implementation,Training to learn how to safely conduct a prescribed burn",,"Available grants for fuels reduction treatments and how to apply,Mechanical fuels reduction treatments (forest thinning, chipping, mastication, etc),Reducing health impacts from wildfire smoke",,"Community events or town halls,In-person workshops,Watching short videos,Webinars",,"Email,In-person,Mail",,,,,,Rural,0-5 acres,"Not applicable, my property is only used for residential use,Wildlife habitat",,No,Over 70,Woman,,Prefer not to answer,,Prefer not to answer,,Prefer not to state
100,717,TRUE,R_YaeQ0hHy8xjXZ1n,Yes,No,Removed vegetation and other combustible material within the first 0-5 feet of my home ,,,Yes,"Prescribed fire (a controlled fire set intentionally to meet management objectives under applicable laws and regulations),Removal of medium and large trees through timber harvest,Weed trimming and/or mowing grass",,Did some myself and hired a contractor,,Out of pocket,,,No,"Financial assistance,Help preparing my property to conduct a prescribed burn,Information about planning and implementation",,"Ecosystem restoration,Evacuation planning,Post-wildfire recovery",,Watching short videos,,"Email,Mail",,,,,,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,No,51-60,Woman,,White,,English,,Prefer not to state
100,274,TRUE,R_1EWrqVzx7UcBOMZ,Yes,Yes,,,,,,,,,,,,,,,"Ecosystem restoration,Grazing for fuels reduction,Post-wildfire recovery",,"Community events or town halls,Field tours to local properties,In-person workshops,Webinars",,Email,,,Yes,,,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,No,Over 70,Woman,,White,,English,,"$50,000 - $100,000 per year"
100,1110,TRUE,R_9Fv9dwDlJojgrvz,Yes,No,"No, I have not completed home retrofitting or remodeling","Cost,Other (please specify)","I live in a dense neighborhood of single family homes. One catches fire, it spreads easily to others. ",Yes,"Weed trimming and/or mowing grass,Other (please specify):",Pruning out dead branches and twigs. ,Did it myself,,"Out of pocket,My only cost was personal labor (myself, friends, and family)",,,,,,"Evacuation planning,Post-wildfire recovery,Reducing health impacts from wildfire smoke",,"Field tours to local properties,Reading factsheets,Webinars",,"Email,In-person,Newspaper",,,,92821,Orange,,,,,,,Man,,White,,English,,
100,822,TRUE,R_2TzQTY2HClwLYVh,Yes,No,"No, I have not completed home retrofitting or remodeling","Cost,Lack of knowledge, information, or resources",,No,,,,,,,,Unsure,Information about prescribed fire benefits,,"Evacuation planning,Home hardening,Reducing health impacts from wildfire smoke",,"In-person workshops,Reading factsheets,Webinars",,"Email,In-person,Mail",,,,92620,Orange,Rural,0-5 acres,"Not applicable, my property is only used for residential use",,No,Over 70,Woman,,White,,English,,"Greater than $150,000 per year"
100,820,TRUE,R_1hNklir1KusUkqC,Yes,No,"No, I have not completed home retrofitting or remodeling","Cost,Existing home design constraints,Local and/or Homeowners Association rules and regulations",,Yes,Hand thinning and scattering small trees and brush ,,Did it myself,,"My only cost was personal labor (myself, friends, and family)",,,,,,"Available grants for fuels reduction treatments and how to apply,Home hardening,Reducing health impacts from wildfire smoke",,Community events or town halls,,Email,,,,92612,Orange,,,,,,,Woman,,White,,English,,
100,415,TRUE,R_tSuh1wp8gt1QSfT,Yes,No,Retrofitted home with ignition and/or ember resistant materials,"Existing home design constraints,Other (please specify)",Must preserve fruit trees veggie gardens next to house. I will not remove,Yes,"Hand thinning and scattering small trees and brush ,Removal of small trees and brush with heavy equipment (e.g., mastication or chipping),Weed trimming and/or mowing grass",,Did it myself,,"My only cost was personal labor (myself, friends, and family)",,,No,,,"Grazing for fuels reduction,Home hardening,Mechanical fuels reduction treatments (forest thinning, chipping, mastication, etc)",,"Field tours to local properties,In-person workshops",,Website,,,,,,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,No,Over 70,Woman,,White,,English,,Prefer not to state
100,777,TRUE,R_210tNfTR0CBl2hg,Yes,No,"Put up non-combustible, reflective signs/addressing on house,Removed vegetation and other combustible material within the first 0-5 feet of my home ",,,Yes,"Hand thinning and scattering small trees and brush ,Weed trimming and/or mowing grass",,Did it myself,,"My only cost was personal labor (myself, friends, and family)",,,No,,,,,,,Website,,,,,,Urban,0-5 acres,"Not applicable, my property is only used for residential use,Wildlife habitat",,No,Over 70,Woman,,White,,English,,"Greater than $150,000 per year"
100,518,TRUE,R_3Dq35Wae4FfDww0,Yes,No,Removed vegetation and other combustible material within the first 0-5 feet of my home ,Permitting,,Yes,Weed trimming and/or mowing grass,,Did some myself and hired a contractor,,Out of pocket,,,No,,,,,,,"Email,Mail",,,,,,,,,,,,Woman,,White,,English,,
100,154754,TRUE,R_1KvQNABJ23AmUHc,Yes,Yes,,,,,,,,,,,,,,,"Defensible space,Grazing for fuels reduction,Home hardening",,"Community events or town halls,Field tours to local properties,In-person workshops,Reading factsheets,Watching short videos,Webinars",,"Email,In-person,Telephone,Website",,,Yes,,,Rural,101-1000 acres,Farming and/or agriculture,,No,41-50,Woman,,White,,English,,"$100,001 - $150,000 per year"
100,969,TRUE,R_3PzDi1yYdzp5cwJ,Yes,Yes,,,,,,,,,,,,,,,"Available grants for fuels reduction treatments and how to apply,Post-wildfire recovery,Prescribed fire planning and implementation",,"Field tours to local properties,In-person workshops",,Email,,,Yes,,,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,Yes,61-70,Woman,,White,,English,,"Less than $50,000 per year"
100,603,TRUE,R_1jjLwprOfQlVgNj,Yes,No,"No, I have not completed home retrofitting or remodeling",,,No,,,,,,,,No,,,"Evacuation planning,Reducing health impacts from wildfire smoke",,"Field tours to local properties,Reading factsheets,Watching short videos,Webinars",,"Email,Social media ,Website",,,,,,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,,61-70,Woman,,White,,English,,"$100,001 - $150,000 per year"
100,1327,TRUE,R_1BVPAoncY7Dz2xV,Yes,No,Retrofitted home with ignition and/or ember resistant materials,"Cost,Lack of knowledge, information, or resources,Time",,Yes,"Hand thinning and scattering small trees and brush ,Weed trimming and/or mowing grass",,Did it myself,,"Out of pocket,My only cost was personal labor (myself, friends, and family)",,,,,,"Ecosystem restoration,Home hardening,Reducing health impacts from wildfire smoke",,"Community events or town halls,In-person workshops,Reading factsheets,Watching short videos,Webinars",,"Email,In-person,Mail,Website",,,,91207,Los Angeles,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,Yes,Prefer not to answer,Prefer not to answer,,Prefer not to answer,,English,,Prefer not to state
100,703,TRUE,R_3F3tsCOLy3vlV3N,Yes,No,"I am considering retrofitting or remodeling, but am unsure of what actions to take.","Availability of contractors,Cost,Lack of knowledge, information, or resources",,Yes,Weed trimming and/or mowing grass,,Did it myself,,"My only cost was personal labor (myself, friends, and family)",,,No,,,"Defensible space,Evacuation planning,Home hardening",,"Community events or town halls,Reading factsheets,Watching short videos",,"Email,Website",,,,92630,Orange,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,No,Over 70,Woman,,White,,English,,"Greater than $150,000 per year"
100,881,TRUE,R_3mesCSR0UJRxUph,Yes,No,"Removed vegetation and other combustible material within the first 0-5 feet of my home ,Retrofitted home with ignition and/or ember resistant materials","Availability of contractors,Cost,Existing home design constraints",,Yes,Other (please specify):,"Tree trimming, removal of wood mulch",Other (please specify),Hired tree trimmers ,Out of pocket,,,,,,"Defensible space,Evacuation planning,Home hardening",,"In-person workshops,Watching short videos,Webinars",,"Email,Text Message,Website",,,,92869,Orange,,,,,,,Woman,,White,,English,,
100,1063,TRUE,R_24H07iuD0BA3NIy,Yes,Yes,,,,,,,,,,,,,,,"Home hardening,Permitting for fuels mitigation work,Prescribed fire planning and implementation",,"In-person workshops,Reading factsheets,Watching short videos,Webinars",,"Email,In-person",,,Yes,,,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,Yes,51-60,Man,,White,,English,,"Greater than $150,000 per year"
100,591,TRUE,R_24im7K7jinTqaFz,Yes,No,"Purchased a backup power source (e.g., generator)","Cost,Existing home design constraints,Local and/or Homeowners Association rules and regulations",,Yes,"Hand thinning and scattering small trees and brush ,Weed trimming and/or mowing grass",,Did it myself,,"My only cost was personal labor (myself, friends, and family)",,,,,,"Defensible space,Home hardening,Post-wildfire recovery",,In-person workshops,,Text Message,,,,92630,Orange,Rural,6-10 acres,Livestock/grazing,,No,Over 70,Woman,,White,,English,,"Greater than $150,000 per year"
100,408,TRUE,R_psGmhO2QEfGDlzH,Yes,Yes,,,,,,,,,,,,,,,"Ecosystem restoration,Home hardening,Prescribed fire planning and implementation",,"Community events or town halls,Field tours to local properties,In-person workshops",,"Email,Telephone,Website",,,No,,,Suburban,0-5 acres,"Not applicable, my property is only used for residential use,Wildlife habitat",,,61-70,Woman,,White,,English,,Prefer not to state
100,429,TRUE,R_1dH8r2NGs1u7pqZ,Yes,Yes,,,,,,,,,,,,,,,"Permitting for fuels mitigation work,Post-wildfire recovery,Reducing health impacts from wildfire smoke",,"Field tours to local properties,In-person workshops",,"Email,In-person,Website",,,No,,,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,No,41-50,Woman,,White,,English,,"Greater than $150,000 per year"
100,667,TRUE,R_ZxHUBhRr0fjGbwl,Yes,Yes,,,,,,,,,,,,,,,Ecosystem restoration,,"In-person workshops,Webinars",,Email,,,Yes,,,Urban,0-5 acres,"Not applicable, my property is only used for residential use",,No,Over 70,Woman,,White,,English,,"$100,001 - $150,000 per year"
100,398,TRUE,R_a9RyMhFeJhVfTuF,Yes,Yes,,,,,,,,,,,,,,,"Mechanical fuels reduction treatments (forest thinning, chipping, mastication, etc),Post-wildfire recovery,Prescribed fire planning and implementation",,"Community events or town halls,Field tours to local properties,In-person workshops,Webinars",,Email,,,Yes,,,Rural,0-5 acres,"Farming and/or agriculture,Livestock/grazing,Wildlife habitat",,No,61-70,Woman,,White,,English,,"$50,000 - $100,000 per year"
100,647,TRUE,R_3oT9PBK48iQ92T0,Yes,Yes,,,,,,,,,,,,,,,"Ecosystem restoration,Post-wildfire recovery,Other (please specify)",Burning for invasive species (tied to ecosystem restoration + wildfire recovery),"In-person workshops,Watching short videos,Webinars",,Email,,,Yes,,,,,,,,,Woman,,White,,English,,
100,1129,TRUE,R_0GPB54a6eLDdjeF,Yes,Yes,,,,,,,,,,,,,,,"Available grants for fuels reduction treatments and how to apply,Permitting for fuels mitigation work,Post-wildfire recovery",,"Field tours to local properties,In-person workshops,Reading factsheets,Watching short videos,Webinars",,"Email,In-person",,,Yes,,,Rural,11-20 acres,"Farming and/or agriculture,Wildlife habitat",,No,51-60,Woman,,White,,English,,"$50,000 - $100,000 per year"
100,1002,TRUE,R_3I6HyBsRY8SO6AY,Yes,Yes,,,,,,,,,,,,,,,"Ecosystem restoration,Post-wildfire recovery,Prescribed fire planning and implementation",,"Community events or town halls,Field tours to local properties,In-person workshops",,"Email,In-person,Radio,Social media ,Website",,,Yes,,,Rural,0-5 acres,"Not applicable, my property is only used for residential use,Wildlife habitat",,No,61-70,Woman,,White,,English,,Prefer not to state
100,1060,TRUE,R_2b3PuNN4NwEZR1V,Yes,No,Other (please specify):,Other (please specify),I don’t live in a fire area.,No,,,,,,,,No,,,Reducing health impacts from wildfire smoke,,Webinars,,"Email,Mail,Radio",,,,90815,Los Angeles,,,,,,,Man,,White,,English,,
100,16935,TRUE,R_268Obgr6ig1d01w,Yes,No,"Purchased an air filtration system for home to use during wildfire smoke events,Purchased a backup power source (e.g., generator),Put up non-combustible, reflective signs/addressing on house,Removed vegetation and other combustible material within the first 0-5 feet of my home ","Availability of contractors,Cost,Permitting",,Yes,"Targeted grazing,Weed trimming and/or mowing grass",,Did some myself and hired a contractor,,"Out of pocket,My only cost was personal labor (myself, friends, and family)",,,,,,"Defensible space,Grazing for fuels reduction,Home hardening",,Webinars,,"Email,Mail,Newspaper,Social media ,Website",,,,95306,Mariposa,Rural,0-5 acres,"Farming and/or agriculture,Wildlife habitat",,No,61-70,Man,,White,,English,,"$100,001 - $150,000 per year"
100,599,TRUE,R_2R4SKqSaDjqXIvI,Yes,Yes,,,,,,,,,,,,,,,"Defensible space,Mechanical fuels reduction treatments (forest thinning, chipping, mastication, etc),Prescribed fire planning and implementation",,Field tours to local properties,,Email,,,No,,,Rural,0-5 acres,"Not applicable, my property is only used for residential use",,No,41-50,Man,,White,,English,,"$50,000 - $100,000 per year"
100,985,TRUE,R_vNdEiGYVjkJ7O9P,Yes,No,"No, I have not completed home retrofitting or remodeling","Existing home design constraints,Local and/or Homeowners Association rules and regulations",,Yes,"Hand thinning and scattering small trees and brush ,Weed trimming and/or mowing grass",,Did it myself,,Out of pocket,,,No,,,"Evacuation planning,Home hardening,Prescribed fire planning and implementation",,"Community events or town halls,In-person workshops,Reading factsheets",,"Email,Mail,Text Message",,,,92679,Orange,Urban,,"Not applicable, my property is only used for residential use",,,Over 70,Man,,White,,English,,Prefer not to state
100,506,TRUE,R_Tn4W8X5hnoj4hAR,Yes,Yes,,,,,,,,,,,,,,,"Available grants for fuels reduction treatments and how to apply,Defensible space,Mechanical fuels reduction treatments (forest thinning, chipping, mastication, etc)",,In-person workshops,,In-person,,,Yes,,,Rural,0-5 acres,"Not applicable, my property is only used for residential use",,No,61-70,Woman,,White,,English,,"$50,000 - $100,000 per year"
100,221,TRUE,R_xat3bawV5C0gcIF,Yes,Yes,,,,,,,,,,,,,,,"Mechanical fuels reduction treatments (forest thinning, chipping, mastication, etc),Post-wildfire recovery,Prescribed fire planning and implementation",,"Community events or town halls,Field tours to local properties,In-person workshops",,Email,,,Yes,,,,,,,,,Woman,,White,,English,,
100,550,TRUE,R_DTVIQkMWC1u7H7r,Yes,Yes,,,,,,,,,,,,,,,"Ecosystem restoration,Permitting for fuels mitigation work,Post-wildfire recovery",,"Field tours to local properties,In-person workshops,Reading factsheets,Watching short videos,Webinars",,Email,,,No,,,Urban,0-5 acres,"Not applicable, my property is only used for residential use",,,61-70,Woman,,Prefer not to answer,,English,,"$50,000 - $100,000 per year"
100,2461,TRUE,R_D1cZVtp9GK5Uztv,Yes,Yes,,,,,,,,,,,,,,,"Grazing for fuels reduction,Mechanical fuels reduction treatments (forest thinning, chipping, mastication, etc),Permitting for fuels mitigation work",,"Community events or town halls,Field tours to local properties,In-person workshops,Webinars",,"Email,In-person,Text Message",,,Yes,,,Rural,0-5 acres,Wildlife habitat,,,61-70,Woman,,White,,English,,"$100,001 - $150,000 per year"
100,416,TRUE,R_3Ep5cGm8bGeJn1B,Yes,Yes,,,,,,,,,,,,,,,"Ecosystem restoration,Prescribed fire planning and implementation,Reducing health impacts from wildfire smoke",,"In-person workshops,Webinars",,Email,,,Yes,,,Urban,,"Not applicable, my property is only used for residential use",,No,Over 70,Woman,,White,,English,,Prefer not to state
100,520,TRUE,R_5hSw8ZRTCiBhjUt,Yes,No,"Purchased a backup power source (e.g., generator),Removed vegetation and other combustible material within the first 0-5 feet of my home ,Retrofitted home with ignition and/or ember resistant materials","Cost,Lack of knowledge, information, or resources,Time",,Yes,"Removal of medium and large trees through timber harvest,Removal of small trees and brush with heavy equipment (e.g., mastication or chipping),Weed trimming and/or mowing grass,Other (please specify):",Trimming and hauling,Did some myself and hired a contractor,,Out of pocket,,,No,"Clarity on relevant laws and liability associated with burning,Financial assistance,Help preparing my property to conduct a prescribed burn,Help navigating the permitting process,Information about prescribed fire benefits,Information about planning and implementation,Labor resources,Training to learn how to safely conduct a prescribed burn",,"Available grants for fuels reduction treatments and how to apply,Evacuation planning,Post-wildfire recovery",,"Community events or town halls,In-person workshops,Watching short videos,Webinars",,In-person,,,,,,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,No,61-70,Woman,,White,,English,,"$50,000 - $100,000 per year"
100,310,TRUE,R_1nMYdHDoEqKih00,Yes,Yes,,,,,,,,,,,,,,,"Available grants for fuels reduction treatments and how to apply,Mechanical fuels reduction treatments (forest thinning, chipping, mastication, etc),Prescribed fire planning and implementation",,"Community events or town halls,Field tours to local properties,Webinars",,Email,,,Yes,,,Rural,6-10 acres,"Recreation,Wildlife habitat,Other (please specify)",Vacation rental is also on my property. That is in addition to my residence ,No,61-70,Man,,"White,Other (please specify)",My wife is Phillipine,"English,Tagalog (including Filipino)",,"$100,001 - $150,000 per year"
100,1095,TRUE,R_2QyyV4DGqIT8SwW,Yes,No,Purchased an air filtration system for home to use during wildfire smoke events,"Availability of contractors,Cost,Time",,Yes,Hand thinning and scattering small trees and brush ,,Hired a contractor,,Out of pocket,,,,,,"Evacuation planning,Home hardening,Reducing health impacts from wildfire smoke",,"Reading factsheets,Watching short videos",,"Email,Text Message",,,,92620,Orange,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,,Over 70,Woman,,White,,English,,"Greater than $150,000 per year"
100,5312,TRUE,R_3QDUdfS2qWZVT3b,Yes,Yes,,,,,,,,,,,,,,,"Post-wildfire recovery,Prescribed fire planning and implementation,Reducing health impacts from wildfire smoke",,"Community events or town halls,Field tours to local properties,In-person workshops",,Email,,,Yes,,,Suburban,0-5 acres,"Farming and/or agriculture,Wildlife habitat",,No,51-60,Woman,,White,,English,,"$50,000 - $100,000 per year"
100,445,TRUE,R_3PS7ECs9dNRFujD,Yes,No,"I am considering retrofitting or remodeling, but am unsure of what actions to take.","Communicating with my landlord or property manager,Lack of knowledge, information, or resources,Local and/or Homeowners Association rules and regulations",,No,,,,,,,,,,,"Ecosystem restoration,Grazing for fuels reduction,Home hardening",,"Community events or town halls,Field tours to local properties,Webinars",,Email,,,,92656,Orange,Urban,0-5 acres,"Not applicable, my property is only used for residential use",,,61-70,Woman,,White,,English,,Prefer not to state
100,625,TRUE,R_3NCVBGxGfUwfQlT,Yes,No,"No, I have not completed home retrofitting or remodeling","Cost,Existing home design constraints,Permitting,Time",,Yes,Weed trimming and/or mowing grass,,Did it myself,,Out of pocket,,,No,,,"Ecosystem restoration,Evacuation planning,Post-wildfire recovery",,,,Email,,,,92845,Orange,Suburban,0-5 acres,,,No,Over 70,Woman,,White,,English,,"$50,000 - $100,000 per year"
100,1088,TRUE,R_2ATjusMUzq7rEGu,Yes,Yes,,,,,,,,,,,,,,,"Available grants for fuels reduction treatments and how to apply,Ecosystem restoration,Post-wildfire recovery",,"Community events or town halls,Field tours to local properties,In-person workshops,Reading factsheets,Watching short videos,Webinars",,"Email,In-person,Website",,,Yes,,,,,,,,,Woman,,White,,English,,
100,652,TRUE,R_26o28Xwfr713WTl,Yes,Yes,,,,,,,,,,,,,,,"Ecosystem restoration,Evacuation planning,Post-wildfire recovery",,"Community events or town halls,Field tours to local properties,In-person workshops,Watching short videos,Webinars",,"Email,Social media ",,,Yes,,,Rural,0-5 acres,Livestock/grazing,,No,41-50,Man,,White,,English,,"Greater than $150,000 per year"
100,366,TRUE,R_eKVYjjxAghc9ns5,Yes,Yes,,,,,,,,,,,,,,,"Home hardening,Permitting for fuels mitigation work,Post-wildfire recovery",,Webinars,,"Email,Social media ,Website",,,Yes,,,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,No,51-60,Woman,,"Hispanic, Latino/a/x, or other Spanish origin",,English,,"Greater than $150,000 per year"
100,387,TRUE,R_1mUloB5Mr4RfBgi,Yes,Yes,,,,,,,,,,,,,,,"Ecosystem restoration,Permitting for fuels mitigation work,Prescribed fire planning and implementation",,In-person workshops,,Email,,,Yes,,,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,No,Over 70,Woman,,White,,English,,Prefer not to state
100,510,TRUE,R_egNuqaEbqcwAuM9,Yes,No,"No, I have not completed home retrofitting or remodeling","Cost,Permitting,Time",,Yes,Weed trimming and/or mowing grass,,Did it myself,,"My only cost was personal labor (myself, friends, and family)",,,,,,"Ecosystem restoration,Grazing for fuels reduction,Prescribed fire planning and implementation",,"Field tours to local properties,Reading factsheets,Watching short videos",,"Email,In-person,Website",,,,92866,Orange,Suburban,,"Not applicable, my property is only used for residential use",,,61-70,Prefer not to answer,,Prefer not to answer,,English,,Prefer not to state
100,831,TRUE,R_st9XFgoKJ7CS29X,Yes,No,"Purchased a backup power source (e.g., generator),Put up non-combustible, reflective signs/addressing on house,Removed vegetation and other combustible material within the first 0-5 feet of my home ,Retrofitted home with ignition and/or ember resistant materials",Cost,,Yes,Burning piles of cut trees and brush,,Did some myself and hired a contractor,,"Out of pocket,Grants",Natural Resource Conservation Service (NRCS),,No,,,Evacuation planning,,Watching short videos,,"Email,Website",,,,95945,Nevada,Rural,6-10 acres,"Recreation,Wildlife habitat",,No,31-40,Man,,White,,English,,"$100,001 - $150,000 per year"
100,667,TRUE,R_OfAMuwEb6eBMuB3,Yes,No,"No, I have not completed home retrofitting or remodeling","Cost,Lack of knowledge, information, or resources,Local and/or Homeowners Association rules and regulations",,No,,,,,,,,No,,,"Home hardening,Prescribed fire planning and implementation,Reducing health impacts from wildfire smoke",,Watching short videos,,Email,,,,92604,Orange,Urban,0-5 acres,"Not applicable, my property is only used for residential use",,No,Over 70,Woman,,Asian,,English,,"Greater than $150,000 per year"
100,666,TRUE,R_1JPznxXBvOTyzKQ,Yes,No,"No, I have not completed home retrofitting or remodeling","Cost,Lack of knowledge, information, or resources",,No,,,,,,,,,,,"Defensible space,Ecosystem restoration,Home hardening",,"Community events or town halls,Field tours to local properties,In-person workshops,Reading factsheets,Webinars",,"Email,Social media ,Website",,,,,,Urban,,"Not applicable, my property is only used for residential use",,,Prefer not to answer,Prefer not to answer,,Prefer not to answer,,English,,Prefer not to state
100,669,TRUE,R_POmvg4Cd6XsXAe5,Yes,No,"Purchased a backup power source (e.g., generator)","Existing home design constraints,Permitting,Time",,Yes,Weed trimming and/or mowing grass,,Did it myself,,Out of pocket,,,No,,,,,,,Radio,,,,,,,0-5 acres,,,No,51-60,Woman,,White,,English,,"Greater than $150,000 per year"
